"Time Period","Financial Quarter","Location","Age Group","Measure","Value"
"Financial Year","2018/19","Inverclyde","18-64 years","Number of People",215
"Financial Year","2018/19","Inverclyde","18-64 years","Number of Hours",62840
"Financial Year","2018/19","Inverclyde","65-74 years","Rate per 1,000 People",39.6
"Financial Year","2018/19","Inverclyde","65-74 years","Number of People",365
"Financial Year","2018/19","Inverclyde","65-74 years","Number of Hours",77965
"Financial Year","2018/19","Inverclyde","75-84 years","Rate per 1,000 People",137.6
"Financial Year","2018/19","Inverclyde","75-84 years","Number of People",745
"Financial Year","2018/19","Inverclyde","75-84 years","Number of Hours",157565
"Financial Year","2018/19","Inverclyde","85+ years","Rate per 1,000 People",334.6
"Financial Year","2018/19","Inverclyde","85+ years","Number of People",690
"Financial Year","2018/19","Inverclyde","85+ years","Number of Hours",155365
"Financial Year","2018/19","Inverclyde","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Inverclyde","Unknown","Number of People",0
"Financial Year","2018/19","Inverclyde","Unknown","Number of Hours",0
"Financial Year","2018/19","Midlothian","All Ages","Rate per 1,000 People",15
"Financial Year","2018/19","Midlothian","All Ages","Number of People",1380
"Financial Year","2018/19","Midlothian","All Ages","Number of Hours",423260
"Financial Year","2018/19","Midlothian","0-17 years","Rate per 1,000 People",0.3
"Financial Year","2018/19","Midlothian","0-17 years","Number of People",5
"Financial Year","2018/19","Midlothian","0-17 years","Number of Hours",940
"Financial Year","2018/19","Midlothian","18-64 years","Rate per 1,000 People",5.6
"Financial Year","2018/19","Midlothian","18-64 years","Number of People",310
"Financial Year","2018/19","Midlothian","18-64 years","Number of Hours",167335
"Financial Year","2018/19","Midlothian","65-74 years","Rate per 1,000 People",23.3
"Financial Year","2018/19","Midlothian","65-74 years","Number of People",235
"Financial Year","2018/19","Midlothian","65-74 years","Number of Hours",60470
"Financial Year","2018/19","Midlothian","75-84 years","Rate per 1,000 People",77.4
"Financial Year","2018/19","Midlothian","75-84 years","Number of People",415
"Financial Year","2018/19","Midlothian","75-84 years","Number of Hours",98885
"Financial Year","2018/19","Midlothian","85+ years","Rate per 1,000 People",235.4
"Financial Year","2018/19","Midlothian","85+ years","Number of People",415
"Financial Year","2018/19","Midlothian","85+ years","Number of Hours",95630
"Financial Year","2018/19","Midlothian","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Midlothian","Unknown","Number of People",0
"Financial Year","2018/19","Midlothian","Unknown","Number of Hours",0
"Financial Year","2018/19","Moray","All Ages","Rate per 1,000 People",17.9
"Financial Year","2018/19","Moray","All Ages","Number of People",1680
"Financial Year","2018/19","Moray","All Ages","Number of Hours",859275
"Financial Year","2018/19","Moray","0-17 years","Rate per 1,000 People",0.3
"Financial Year","2018/19","Moray","0-17 years","Number of People",5
"Financial Year","2018/19","Moray","0-17 years","Number of Hours",740
"Financial Year","2018/19","Moray","18-64 years","Rate per 1,000 People",5.9
"Financial Year","2018/19","Moray","18-64 years","Number of People",330
"Financial Year","2018/19","Moray","18-64 years","Number of Hours",358065
"Financial Year","2018/19","Moray","65-74 years","Rate per 1,000 People",19.7
"Financial Year","2018/19","Moray","65-74 years","Number of People",220
"Financial Year","2018/19","Moray","65-74 years","Number of Hours",122985
"Financial Year","2018/19","Moray","75-84 years","Rate per 1,000 People",76.1
"Financial Year","2018/19","Moray","75-84 years","Number of People",500
"Financial Year","2018/19","Moray","75-84 years","Number of Hours",157450
"Financial Year","2018/19","Moray","85+ years","Rate per 1,000 People",255.9
"Financial Year","2018/19","Moray","85+ years","Number of People",625
"Financial Year","2018/19","Moray","85+ years","Number of Hours",220035
"Financial Year","2018/19","Moray","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Moray","Unknown","Number of People",0
"Financial Year","2018/19","Moray","Unknown","Number of Hours",0
"Financial Year","2018/19","North Ayrshire","All Ages","Rate per 1,000 People",25.9
"Financial Year","2018/19","North Ayrshire","All Ages","Number of People",3505
"Financial Year","2018/19","North Ayrshire","All Ages","Number of Hours",1452555
"Financial Year","2018/19","North Ayrshire","0-17 years","Rate per 1,000 People",0.2
"Financial Year","2018/19","North Ayrshire","0-17 years","Number of People",5
"Financial Year","2018/19","North Ayrshire","0-17 years","Number of Hours",1665
"Financial Year","2018/19","North Ayrshire","18-64 years","Rate per 1,000 People",8.4
"Financial Year","2018/19","North Ayrshire","18-64 years","Number of People",670
"Financial Year","2018/19","North Ayrshire","18-64 years","Number of Hours",762390
"Financial Year","2018/19","North Ayrshire","65-74 years","Rate per 1,000 People",36
"Financial Year","2018/19","North Ayrshire","65-74 years","Number of People",620
"Financial Year","2018/19","North Ayrshire","65-74 years","Number of Hours",189860
"Financial Year","2018/19","North Ayrshire","75-84 years","Rate per 1,000 People",120.5
"Financial Year","2018/19","North Ayrshire","75-84 years","Number of People",1165
"Financial Year","2018/19","North Ayrshire","75-84 years","Number of Hours",234455
"Financial Year","2018/19","North Ayrshire","85+ years","Rate per 1,000 People",318
"Financial Year","2018/19","North Ayrshire","85+ years","Number of People",1045
"Financial Year","2018/19","North Ayrshire","85+ years","Number of Hours",264185
"Financial Year","2018/19","North Ayrshire","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","North Ayrshire","Unknown","Number of People",0
"Financial Year","2018/19","North Ayrshire","Unknown","Number of Hours",0
"Financial Year","2018/19","North Lanarkshire","All Ages","Rate per 1,000 People",16.7
"Financial Year","2018/19","North Lanarkshire","All Ages","Number of People",5675
"Financial Year","2018/19","North Lanarkshire","All Ages","Number of Hours",1518685
"Financial Year","2018/19","North Lanarkshire","0-17 years","Rate per 1,000 People",0.5
"Financial Year","2018/19","North Lanarkshire","0-17 years","Number of People",35
"Financial Year","2018/19","North Lanarkshire","0-17 years","Number of Hours",2870
"Financial Year","2018/19","North Lanarkshire","18-64 years","Rate per 1,000 People",2.6
"Financial Year","2018/19","North Lanarkshire","18-64 years","Number of People",560
"Financial Year","2018/19","North Lanarkshire","18-64 years","Number of Hours",140865
"Financial Year","2018/19","North Lanarkshire","65-74 years","Rate per 1,000 People",31
"Financial Year","2018/19","North Lanarkshire","65-74 years","Number of People",1035
"Financial Year","2018/19","North Lanarkshire","65-74 years","Number of Hours",267760
"Financial Year","2018/19","North Lanarkshire","75-84 years","Rate per 1,000 People",117.2
"Financial Year","2018/19","North Lanarkshire","75-84 years","Number of People",2200
"Financial Year","2018/19","North Lanarkshire","75-84 years","Number of Hours",557265
"Financial Year","2018/19","North Lanarkshire","85+ years","Rate per 1,000 People",328.2
"Financial Year","2018/19","North Lanarkshire","85+ years","Number of People",1845
"Financial Year","2018/19","North Lanarkshire","85+ years","Number of Hours",549925
"Financial Year","2018/19","North Lanarkshire","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","North Lanarkshire","Unknown","Number of People",0
"Financial Year","2018/19","North Lanarkshire","Unknown","Number of Hours",0
"Financial Year","2018/19","Orkney Islands","All Ages","Rate per 1,000 People",12.6
"Financial Year","2018/19","Orkney Islands","All Ages","Number of People",275
"Financial Year","2018/19","Orkney Islands","All Ages","Number of Hours",82120
"Financial Year","2018/19","Orkney Islands","0-17 years","Rate per 1,000 People",0
"Financial Year","2018/19","Orkney Islands","0-17 years","Number of People",0
"Financial Year","2018/19","Orkney Islands","0-17 years","Number of Hours",0
"Financial Year","2018/19","Orkney Islands","18-64 years","Rate per 1,000 People",2
"Financial Year","2018/19","Orkney Islands","18-64 years","Number of People",25
"Financial Year","2018/19","Orkney Islands","18-64 years","Number of Hours",10025
"Financial Year","2018/19","Orkney Islands","65-74 years","Rate per 1,000 People",10.6
"Financial Year","2018/19","Orkney Islands","65-74 years","Number of People",30
"Financial Year","2018/19","Orkney Islands","65-74 years","Number of Hours",14065
"Financial Year","2018/19","Orkney Islands","75-84 years","Rate per 1,000 People",52.4
"Financial Year","2018/19","Orkney Islands","75-84 years","Number of People",90
"Financial Year","2018/19","Orkney Islands","75-84 years","Number of Hours",19905
"Financial Year","2018/19","Orkney Islands","85+ years","Rate per 1,000 People",225.7
"Financial Year","2018/19","Orkney Islands","85+ years","Number of People",130
"Financial Year","2018/19","Orkney Islands","85+ years","Number of Hours",38125
"Financial Year","2018/19","Orkney Islands","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Orkney Islands","Unknown","Number of People",0
"Financial Year","2018/19","Orkney Islands","Unknown","Number of Hours",0
"Financial Year","2018/19","Perth and Kinross","All Ages","Rate per 1,000 People",18.3
"Financial Year","2018/19","Perth and Kinross","All Ages","Number of People",2735
"Financial Year","2018/19","Perth and Kinross","All Ages","Number of Hours",966125
"Financial Year","2018/19","Perth and Kinross","0-17 years","Rate per 1,000 People",0.2
"Financial Year","2018/19","Perth and Kinross","0-17 years","Number of People",5
"Financial Year","2018/19","Perth and Kinross","0-17 years","Number of Hours",3640
"Financial Year","2018/19","Perth and Kinross","18-64 years","Rate per 1,000 People",4
"Financial Year","2018/19","Perth and Kinross","18-64 years","Number of People",345
"Financial Year","2018/19","Perth and Kinross","18-64 years","Number of Hours",360710
"Financial Year","2018/19","Perth and Kinross","65-74 years","Rate per 1,000 People",19.5
"Financial Year","2018/19","Perth and Kinross","65-74 years","Number of People",370
"Financial Year","2018/19","Perth and Kinross","65-74 years","Number of Hours",117315
"Financial Year","2018/19","Perth and Kinross","75-84 years","Rate per 1,000 People",77.6
"Financial Year","2018/19","Perth and Kinross","75-84 years","Number of People",885
"Financial Year","2018/19","Perth and Kinross","75-84 years","Number of Hours",203940
"Financial Year","2018/19","Perth and Kinross","85+ years","Rate per 1,000 People",240.1
"Financial Year","2018/19","Perth and Kinross","85+ years","Number of People",1130
"Financial Year","2018/19","Perth and Kinross","85+ years","Number of Hours",280520
"Financial Year","2018/19","Perth and Kinross","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Perth and Kinross","Unknown","Number of People",0
"Financial Year","2018/19","Perth and Kinross","Unknown","Number of Hours",0
"Financial Year","2018/19","Renfrewshire","All Ages","Rate per 1,000 People",19.6
"Financial Year","2018/19","Renfrewshire","All Ages","Number of People",3515
"Financial Year","2018/19","Renfrewshire","All Ages","Number of Hours",1664340
"Financial Year","2018/19","Renfrewshire","0-17 years","Rate per 1,000 People",0
"Financial Year","2018/19","Renfrewshire","0-17 years","Number of People",0
"Financial Year","2018/19","Renfrewshire","0-17 years","Number of Hours",1480
"Financial Year","2018/19","Renfrewshire","18-64 years","Rate per 1,000 People",5.9
"Financial Year","2018/19","Renfrewshire","18-64 years","Number of People",660
"Financial Year","2018/19","Renfrewshire","18-64 years","Number of Hours",934500
"Financial Year","2018/19","Renfrewshire","65-74 years","Rate per 1,000 People",32
"Financial Year","2018/19","Renfrewshire","65-74 years","Number of People",605
"Financial Year","2018/19","Renfrewshire","65-74 years","Number of Hours",233310
"Financial Year","2018/19","Renfrewshire","75-84 years","Rate per 1,000 People",106.4
"Financial Year","2018/19","Renfrewshire","75-84 years","Number of People",1175
"Financial Year","2018/19","Renfrewshire","75-84 years","Number of Hours",247900
"Financial Year","2018/19","Renfrewshire","85+ years","Rate per 1,000 People",278.1
"Financial Year","2018/19","Renfrewshire","85+ years","Number of People",1075
"Financial Year","2018/19","Renfrewshire","85+ years","Number of Hours",247150
"Financial Year","2018/19","Renfrewshire","Unknown","Rate per 1,000 People",0
"Financial Year","2018/19","Renfrewshire","Unknown","Number of People",0
"Financial Year","2018/19","Renfrewshire","Unknown","Number of Hours",0
"Financial Year","2018/19","Scottish Borders","All Ages","Rate per 1,000 People",17.3
"Financial Year","2018/19","Scottish Borders","All Ages","Number of People",2010
"Financial Year","2018/19","Scottish Borders","All Ages","Number of Hours",495380
"Financial Year","2018/19","Scottish Borders","0-17 years","Rate per 1,000 People",0
"Financial Year","2018/19","Scottish Borders","0-17 years","Number of People",0
"Financial Year","2018/19","Scottish Borders","0-17 years","Number of Hours",280
"Financial Year","2018/19","Scottish Borders","18-64 years","Rate per 1,000 People",2.5
"Financial Year","2018/19","Scottish Borders","18-64 years","Number of People",165
"Financial Year","2018/19","Scottish Borders","18-64 years","Number of Hours",64020
"Financial Year","2018/19","Scottish Borders","65-74 years","Rate per 1,000 People",16.6
